org_company_name;org_domain;org_category_list;org_category_group_list;org_uuid
Cake Development Corporation;cakedc.com;Software;Software;28af6869-16c0-4876-b447-9a0dd05be183
MindSpring Software;mindspringsoftware.com;Software;Software;28dae409-881a-097d-ff6f-59f3b4269897
Illuminex;illuminex.biz;Analytics,Video,Video Streaming;Content and Publishing,Data and Analytics,Media and Entertainment,Video;293d485c-5fb1-a62d-f632-0db945156d33
Isleptthroughclass.com;isleptthroughclass.com;Education,Universities,Web Hosting;Education,Internet Services;295876d2-ee2f-5d95-9a90-13569727e3cb
Triune Systems;triunesystems.com;Energy,Manufacturing,Semiconductor;Energy,Hardware,Manufacturing,Science and Engineering;298f3d6e-77aa-d8de-2505-0c0814ca4d9a
ASC Signal;ascsignal.com;Broadcasting,Government,Manufacturing,Satellite Communication;Government and Military,Hardware,Manufacturing,Media and Entertainment,Video;2a0f492d-a6c4-3bf8-53f5-f8e34c10c92d
Zaloni;zaloni.com;Analytics,Big Data,Data Integration,Enterprise Software;Data and Analytics,Information Technology,Software;2a41d009-fc42-95ad-6eaa-a22dd922a202
Photosleeve;photosleeve.com;File Sharing,Hardware,Photo Sharing,Photography,Web Hosting;Content and Publishing,Hardware,Internet Services,Media and Entertainment,Software;2c1279ed-a6a7-4b84-2672-c3b139993d38
AuriStor;auristor.com;Enterprise Software,Information Technology,Security;Information Technology,Privacy and Security,Software;2c1bc214-3550-7f50-2421-97d77021d2ca
Pie Digital;piedigital.com;Apps,Developer Tools,Internet,Internet of Things,Mobile;Apps,Internet Services,Mobile,Software;2c7f8a75-8547-7519-0245-468bce5e001f
Pwned;pwned.com;Video Games;Gaming;2d08f272-0a50-d656-8d0a-649207d5baed
BookFresh;bookfresh.com;Meeting Software,Scheduling,Small and Medium Businesses;Information Technology,Messaging and Telecommunications,Software;2d79a3c8-fa4e-426d-8cf8-49265d02889d
PharmaSecure;pharmasecure.com;Health Care,Information Technology;Health Care,Information Technology;2dde5021-8d0f-45dd-5270-82f73b52e6b6
Friend2Friend;friend2friend.com;Apps,Content Discovery,SaaS,Social Media,Social Media Advertising,Social Media Marketing,Software;Advertising,Apps,Content and Publishing,Internet Services,Media and Entertainment,Sales and Marketing,Software;2e3a6633-05b3-44d5-e807-b7e89d369886
United;unitedneeds.com;Agriculture,Information Technology,Social Innovation;Agriculture and Farming,Information Technology;2e94597f-2b33-715f-bc27-37af6178a481
DataLocker;datalocker.com;Cyber Security,Hardware,Software;Hardware,Information Technology,Privacy and Security,Software;2eda5bd7-80ac-8fa9-eac5-cba085cc634f
Innovid;innovid.com;Ad Targeting,Advertising Platforms,Internet,Publishing,Video;Advertising,Content and Publishing,Internet Services,Media and Entertainment,Video;2f0a6ba6-9753-857f-3ca7-9103d8da9e6c
SocialEngine;socialengine.com;Finance,FinTech,Social Media Management,Software;Financial Services,Internet Services,Sales and Marketing,Software;2f1134b4-40f0-6bd0-53cf-0558730f290d
Notelog;notelog.com;Internet;Internet Services;2fe2cbc0-9b4c-f448-7ee3-ab9fa0e6c66f
VKernel Corporation;vkernel.com;Cloud Computing,Data Center,Virtualization;Hardware,Information Technology,Internet Services,Software;30116b86-d866-fc8a-1837-23f7cfaec15e
Earth & Economy;earthandeconomy.com;GreenTech,Search Engine;Internet Services,Sustainability;30698b85-4bd0-9fb2-26b6-9bcb7694a7ab
Moonshoot;moonshoot.net;Children,Language Learning,Online Games;Education,Gaming;307378c1-3f53-1cd9-9d15-cce9eeaf2706
Dewoh;dewoh.com;Digital Entertainment,News,Podcast,Social Network;Content and Publishing,Internet Services,Media and Entertainment,Music and Audio;30d4926a-16b6-43e9-0f59-003f895ee5af
Iridescent;iridescentlearning.org;EdTech,Education,Non Profit;Education,Software;30dd9b4e-32d0-8861-9308-80cfa018f907
Biart;biart7.com;3D Printing,3D Technology,Android,Developer Tools,iOS,Mobile,Serious Games,Video Games;Gaming,Hardware,Manufacturing,Mobile,Platforms,Software;3109beb3-13a9-8092-ac30-a1b4983b1945
Red Mind Solutions, Inc.;redmindinc.com;Health Care,Information Technology,Medical;Health Care,Information Technology;314f2839-1989-6d06-d6d2-cd9f927ea2f9
indie Semiconductor;indiesemi.com;Semiconductor;Hardware,Science and Engineering;315c4e18-bb96-42aa-817e-9ad092d1f809
TVASAP;tvasap.com;Hardware,Internet,Video;Hardware,Internet Services,Media and Entertainment,Video;315c7dbf-ba9a-60db-cf2a-4497ee162b96
Keahole Solar Power;keaholesolarpower.com;Energy,Software,Solar;Energy,Natural Resources,Software,Sustainability;3179ef2f-3d41-7e6c-6275-404d177c8def
Iris Data Services;irisds.com;Advice,Ediscovery,Legal;Internet Services,Media and Entertainment,Professional Services;31b1a59e-4a1f-ebdb-00fd-779b257c193e
coRank;primeluxuryrentals.com;Law Enforcement,News,Social Media;Content and Publishing,Government and Military,Internet Services,Media and Entertainment,Privacy and Security;3244476d-4195-3274-770c-14174afa1eea
A Beautiful Site;abeautifulsite.net;Developer Tools,Enterprise Software,Internet,Web Design,Web Development;Design,Internet Services,Software;3270a927-e386-1644-1b94-9997f1a31f60
ListensToYou;listenstoyou.com;Ad Network,Advertising,Privacy;Advertising,Privacy and Security,Sales and Marketing;3274e9c1-b7a4-6696-94f7-32f55d09ea5e
GamaSec Trusted Website Secuirty;gamasec.com;Cloud Security,Cyber Security,SaaS,Security;Information Technology,Privacy and Security,Software;329adcb1-99e4-510a-899f-616895e27253
Odoro;odoro.com;Enterprise Software,Health Care,Medical,Personal Health,Scheduling,Software;Health Care,Information Technology,Software;32c0bdfe-d131-8fe8-1cde-d6b906e3c4ca
Jootware;jootbox.com;Content,Digital Media,Web Apps;Apps,Media and Entertainment,Software;33796345-a822-c81a-aa1d-e041cbbbc015
Point of Care Solutions;pochealth.com;EHR,Health Care,Software;Health Care,Software;33b12c5c-f871-5536-9ad6-12dfc84af3e5
Idea Shower;ideashower.com;Public Relations,Web Development;Sales and Marketing,Software;33ba69a0-dc23-0792-2445-2d4a89e697b6
LotusJump;lotusjump.com;Advertising,SEO;Advertising,Internet Services,Sales and Marketing;33e3efe2-47d3-583f-5933-47c0fdec8964
Cold Creek Solutions;coldcreeksolutions.com;Computer,Information Technology;Consumer Electronics,Hardware,Information Technology;33e87a18-9462-430f-8b98-775f31433b4c
Reputation Maxx;reputationmaxx.com;Brand Marketing,Public Relations,Reputation,Software;Information Technology,Sales and Marketing,Software;33ec88f7-1cef-7c81-7431-8c532c5aa1a5
Pownce;pownce.com;Blogging Platforms,Social Media,Social Network;Content and Publishing,Internet Services,Media and Entertainment;344099ec-dd4b-1617-ce7f-b1cb96f2d30e
Zuberance;zuberance.com;Advertising,Direct Marketing,Social Media;Advertising,Internet Services,Media and Entertainment,Sales and Marketing;34667a59-a9ef-8e4e-2f74-1ed3a8f86312
MMOABC.com;mmoabc.com;Video Games;Gaming;34a2ceb9-6559-0279-d868-378fef32d08c
Faststream Technologies;faststreamtech.com;Artificial Intelligence,Electronics,Embedded Systems,Hardware,Internet of Things,Machine Learning,SaaS,Semiconductor,Software;Artificial Intelligence,Consumer Electronics,Data and Analytics,Hardware,Internet Services,Science and Engineering,Software;34acae29-9016-21ea-ff4b-47e836d6e448
Navia Systems;naviasystems.com;Analytics,Big Data,Cloud Computing,SaaS;Data and Analytics,Internet Services,Software;34e1a99e-d489-8784-8a31-1fc7c9b7c07f
Conversion Sound;conversionsound.com;Hardware,Software;Hardware,Software;350231b2-cdbc-8ad7-7cb6-2c97dc6ae50d
PicWash;picwash.com;Online Portals,Photo Editing,Photography;Content and Publishing,Internet Services,Media and Entertainment;352f9300-4179-5170-33be-e48d891a9932
RobotLAB;robotlab.com;Artificial Intelligence,Business Intelligence,EdTech,Education,Retail,Retail Technology,Robotics;Artificial Intelligence,Commerce and Shopping,Data and Analytics,Education,Hardware,Science and Engineering,Software;35555e93-4553-8971-80bf-594609612f12
Inovus Solar;inovussolar.com;Lighting,Renewable Energy,Solar;Energy,Hardware,Natural Resources,Sustainability;356930b6-3dcb-85e7-8e8f-e77e284bd5e5
Dynamics;dynamicsinc.com;Finance,Information Technology,Payments;Financial Services,Information Technology,Payments;35979104-7de8-7fd6-974a-e711dd2915a9
MyDatingTree;mydatingtree.com;Celebrity,Social Media;Internet Services,Media and Entertainment;35beda7e-97b7-1d6a-875a-b2e4eff14e8e
Qualvu;qualvu.com;Market Research,Photography;Content and Publishing,Data and Analytics,Design,Media and Entertainment;35cfff1c-c729-f1e0-f027-932aa3e9fd0c
GameGround;gameground.com;Gamification,Internet,Online Games;Gaming,Internet Services;35f72d48-1976-6ec5-a10d-fbbe93c4d907
SysTools Inc;systoolsgroup.com;Software;Software;361221c9-80df-8437-9b73-78b02b7bc494
Qvinci;qvinci.com;Accounting,Business Intelligence,SaaS,Software;Data and Analytics,Financial Services,Professional Services,Software;36217381-519c-ce9c-0510-68626bc46b90
Zeeik, a division of ComPePrice;zeeik.com;Social Media;Internet Services,Media and Entertainment;363a983a-3a87-1815-e25a-12dc5228b678
LuckyCal;luckycal.com;Apps,Email,Events,Music,Search Engine;Apps,Events,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Music and Audio,Software;36a92435-805f-216a-9d7a-77dbb66b960f
PayParade Pictures;payparade.com;Advertising,Direct Marketing,Social Media;Advertising,Internet Services,Media and Entertainment,Sales and Marketing;36f2a291-c065-a5ff-065f-c4aaa51824d9
AMVONET;amvonet.com;Software;Software;37532f96-9060-e946-f40e-5dd14921177d
MarginLeft;marginleft.com;Online Portals,Web Browsers,Web Development;Internet Services,Software;37897a3e-a124-abc4-801d-577000735fdd
FanSnap;fansnap.com;Concerts,Search Engine,Sports,Theatre,Ticketing,Vertical Search;Events,Internet Services,Media and Entertainment,Sports;37d40529-3131-ac47-341d-33a1d5bd70c6
BeenVerified;beenverified.com;Identity Management,Internet,Search Engine;Information Technology,Internet Services,Privacy and Security;38240f43-50f3-2df2-2dd8-68a6cf6437cf
One World Virtual;oneworldvirtual.com;Software;Software;39354a16-d635-7975-bc7e-40399d701441
Aderra;aderra.net;Concerts,Content,Events,Logistics,Mobile,Music;Events,Media and Entertainment,Mobile,Music and Audio,Transportation;3969294d-7db9-4296-138a-eba90e078c94
OpenWater;getopenwater.com;Events,SaaS,Software;Events,Media and Entertainment,Software;3972a8b1-dd5a-6a42-cd34-e6360662847f
JumpForward;jumpforward.com;College Recruiting,Mobile,Recruiting,Software,Sports;Administrative Services,Education,Mobile,Professional Services,Software,Sports;39896760-f72f-3008-9ebd-54db782e591e
Banyan Branch;banyanbranch.com;Apps,Consulting,News,Social Media;Apps,Content and Publishing,Internet Services,Media and Entertainment,Software;39a0520a-8ae9-4c17-6e87-8ca531389494
2Peer (Qlipso);qlipso.com;Apps,File Sharing,Messaging,Software,Video Chat;Apps,Information Technology,Internet Services,Messaging and Telecommunications,Software;3ad8e0b4-6cf4-1bc7-67b1-af1a1cc10f7b
Kannuu;kannuu.com;Content,Software;Media and Entertainment,Software;3b0c0ad0-32c8-c02b-9d90-5d1b3b9a4e12
Tracking202;tracking202.com;Advertising,Affiliate Marketing,SaaS;Advertising,Sales and Marketing,Software;3b1fe9ea-0182-86a4-261b-e2531affbb03
Brian M. Curran;draftingservices.com;CAD,Consulting;Design,Software;3b4c2326-6cae-4ad8-51a9-b740081af776
breadpig;breadpig.com;Media and Entertainment,Service Industry,Web Development;Media and Entertainment,Software;3bb9c206-98c9-96cd-62de-c833040bd396
WordStream;wordstream.com;Advertising,Marketing,Software;Advertising,Sales and Marketing,Software;3bc8657d-c003-ee54-2bfb-fcc8187e72b9
CharityHappenings;charityhappenings.org;Non Profit,Software,Ticketing;Events,Media and Entertainment,Software;3bfb73df-a1d4-f7de-8021-e25b497ed455
Zeebo;zeeboinc.com;Consumer Electronics,Education,Emerging Markets;Consumer Electronics,Education,Hardware;3c2a2507-259e-32a9-5be4-9004611fa508
Kynetx;kynetx.com;Advertising,Apps,Customer Service,E-Commerce,Software,Web Development;Advertising,Apps,Commerce and Shopping,Sales and Marketing,Software;3c324953-ba4c-8302-4d15-3057e387d673
NeoHire;neohire.com;Consulting,Web Development;Software;3c3a379e-1be9-fc3d-7f2a-d2458337448d
Source Audio;sourceaudio.com;Music,SaaS;Media and Entertainment,Music and Audio,Software;3c3f1bec-2c99-8367-d2b4-7f62ebb0fc61
ShadesCases inc.;shadescases.com;Hardware,Software;Hardware,Software;3c4a51dd-8454-106e-4ff4-635472833a1c
Nationwide Security Alarms;nsaprotects.com;Security,Solar,Video;Energy,Media and Entertainment,Natural Resources,Privacy and Security,Sustainability,Video;3c6de40c-7ef4-0676-2126-d06c8a2d7bea
MiaRec;miarec.com;Software;Software;3cd99e41-f355-0bcc-675c-3b8511e5f137
GridIron Systems;gridironsystems.com;Analytics,Big Data,Hardware,Software;Data and Analytics,Hardware,Software;3d2a1a68-685a-9bb2-9860-ed550eef988a
Bookt;instamanager.com;Big Data,Cloud Data Services,Enterprise Software,SaaS,Travel;Data and Analytics,Information Technology,Internet Services,Software,Travel and Tourism;3d525f18-5498-53e5-cbae-40725e25d603
CALM Energy;calmenergydev.com;Software;Software;3d6e6934-ff76-e8c2-6e8c-518068602c14
mobileXware;mobilexware.com;Android,Apps,Commercial Real Estate,Fitness,Health Care,iOS,Mobile;Apps,Health Care,Mobile,Platforms,Real Estate,Software,Sports;3dc90c3c-cec9-1c6c-c8bc-1d19ca727808
Levementum;levementum.com;Call Center,Consulting,Information Technology;Administrative Services,Information Technology;3de49ba5-0611-29cf-4787-b03498ce328d
Twitch;twitch.tv;Social Media,Video,Video Games,Video Streaming;Content and Publishing,Gaming,Internet Services,Media and Entertainment,Video;3dfd8d9c-7480-79e8-a983-dcf1d0f8e1a5
MusicianLink;musicianlink.com;Hardware,Software;Hardware,Software;3e2ec4cc-7cb5-2670-84a2-035d6345af9c
tringapps, Inc.;tringapps.com;Software;Software;3e31c249-3820-3d63-eb58-3c714f1b63d0
Carbon Media;carbonmedia.com;Advertising,Media and Entertainment,Online Portals;Advertising,Internet Services,Media and Entertainment,Sales and Marketing;3eb1e237-40e3-6176-2d5f-cafcfc7226b8
Red Antler;redantler.com;Advertising,Brand Marketing,Consulting,Industrial Design,Product Design,Web Design;Advertising,Design,Hardware,Sales and Marketing;3efe9e0d-4918-5fcb-7eed-c975a277aa08
Built.io;built.io;Content,Digital Marketing,Internet of Things,Mobile Apps,Software;Apps,Internet Services,Media and Entertainment,Mobile,Sales and Marketing,Software;3fb2cff1-ecea-fdaf-eedf-f454a2dc6930
Intergi Entertainment;intergi.com;Advertising,Video Games;Advertising,Gaming,Sales and Marketing;3fdbf0ce-0182-375a-8b41-46beffe38e1d
DS Media Labs;dsmedialabs.com;Consumer Electronics,iOS,MMO Games,Mobile;Consumer Electronics,Gaming,Hardware,Mobile,Platforms,Software;3fe09363-2eef-3b98-5327-cb1fb0c9b03d
Collagr;collagr.com;Online Portals,Photo Editing,Web Browsers;Content and Publishing,Internet Services,Media and Entertainment,Software;3ffb0a60-7140-d961-5019-5c9dd696fe2b
Doctors of Technology;doctorsoftechnology.com;Computer,Information Technology,Mobile;Consumer Electronics,Hardware,Information Technology,Mobile;4077b7c3-eccb-fe1c-c415-cbfd8acd8f30
SkillWho;skillwho.com;Web Hosting;Internet Services;40fb83fe-329f-d863-a688-d07d65a3f189
GPShopper, a Synchrony solution;gpshopper.com;Brand Marketing,Developer Tools,E-Commerce,Enterprise Software,Mobile,Mobile Payments,Retail Technology;Commerce and Shopping,Financial Services,Hardware,Mobile,Payments,Sales and Marketing,Software;41e3faa0-ff7e-ffb4-c86a-ffbb95098f1a
Edge Lighting;edgelighting.com;Lighting,Manufacturing;Hardware,Manufacturing;42182a8b-e568-f214-db4d-cc090c4692fe
Cognitive Electronics;cognitive-electronics.com;Analytics;Data and Analytics;421cfdee-b98a-be97-f2ee-44dc30698bc1
Trendrr;trendrr.com;Analytics,Business Intelligence,Enterprise Software,Real Time,Social Media;Data and Analytics,Internet Services,Media and Entertainment,Software;4225a17f-c025-82d2-8e56-0d01038ef9a1
Mixr, Inc.;mixrinc.com;Mobile Apps,Publishing,Real Time;Apps,Content and Publishing,Media and Entertainment,Mobile,Software;4228fc30-57e9-572b-d7cf-bf219412584f
1Sale formerly 1SaleADay;1sale.com;Coupons,E-Commerce,Fashion,Jewelry,Wireless;Clothing and Apparel,Commerce and Shopping,Consumer Goods,Design,Hardware,Mobile;42d29932-b23a-5126-0011-3ccf028d6054
Action Verb;actionverb.com;E-Commerce,Email Marketing,File Sharing,Software,Web Hosting;Commerce and Shopping,Internet Services,Sales and Marketing,Software;42eda727-e9d3-3704-46c2-7d2494cedded
Next Bee Corporation;nextbee.com;Loyalty Programs,SaaS,Software;Sales and Marketing,Software;432d2af2-2451-3c4e-851b-eee80f462f62
CloudCover;cloudcover.net;Security;Privacy and Security;434f192d-a035-8712-af9b-7aa1ad45a481
Fragmob;fragmob.com;Direct Sales,Mobile,Software,Video;Media and Entertainment,Mobile,Sales and Marketing,Software,Video;43650cc8-75dd-640f-dc61-fe99797b46b8
Mentez;mentez.com;Gaming,Online Games,Publishing;Content and Publishing,Gaming,Media and Entertainment;4395c3a4-6d1a-d1e0-27f1-7ab88adf6556
Crunchbase;crunchbase.com;Analytics,Big Data,Business Intelligence,Communities,Venture Capital;Community and Lifestyle,Data and Analytics,Financial Services,Lending and Investments;43ac6c2f-65ec-5b40-89d6-ab9d4c4988ef
Post Affiliate Pro Expert;postaffiliateproexpert.com;Advertising,Data Integration,E-Commerce,Outsourcing,Software;Advertising,Commerce and Shopping,Data and Analytics,Information Technology,Professional Services,Sales and Marketing,Software;43b270b1-e24c-728c-3c92-bd9f01b6798b
Architexa;architexa.com;Developer Platform,Document Management,Enterprise Software;Information Technology,Software;43bed69f-bce4-24ff-9e28-b127df013448
Friendzbook;friendzbook1.com;Fashion,Hardware,Identity Management,Messaging,Music,Private Social Networking,Shopping,Software,Sports;Clothing and Apparel,Commerce and Shopping,Community and Lifestyle,Design,Hardware,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Music and Audio,Privacy and Security,Software,Sports;4429d239-f7ac-e715-1fbb-a96d708f9881
Mockingbird Games;playmockingbird.com;Developer Platform,Gaming,Video Games;Gaming,Software;44689998-fe2f-ba6f-80ac-e0bbea52a15a
Smart Selling Tools, Inc.;smartsellingtools.com;CRM,Marketing Automation,News;Content and Publishing,Information Technology,Media and Entertainment,Sales and Marketing,Software;44e24110-52ac-b5eb-5e60-133711886949
Sphinx Web Design Experts;getsphinx.com;Internet,iOS,SEO,Web Design,Web Hosting;Design,Internet Services,Mobile,Platforms,Sales and Marketing,Software;454852b8-2ee5-b2de-0c75-6d03d70fe820
FINTRX Platform powered by Cap Hedge Ventures, Inc.;capitalhedge.net;Big Data,Database,Finance,FinTech,Hedge Funds,SaaS,Venture Capital;Data and Analytics,Financial Services,Lending and Investments,Software;455f7567-6169-c410-d5da-e8c36a6a9a87
FreeGreen;freegreen.com;Construction,Document Management,Home Decor;Information Technology,Real Estate,Software;45be6944-5911-93e6-baa8-0246fe3e7d6f
Technically Simple;technicallysimple.net;Consulting,Consumer Electronics,Information Technology;Consumer Electronics,Hardware,Information Technology;46656bac-cffe-8785-1f3a-3cba9a53b534
Zootoo.com;zootoo.com;Pet,Service Industry,Web Browsers;Community and Lifestyle,Internet Services,Software;466604b8-9bd4-80cf-e427-401f424d3d73
Green House Data;greenhousedata.com;Cloud Computing,Web Hosting;Internet Services,Software;467cbcbd-efba-d073-dbb5-8934f9f52a07
Spiral16;spiral16.com;Social Media,Software,Virtualization;Hardware,Information Technology,Internet Services,Media and Entertainment,Software;473a070b-df99-7532-22a6-dcc4fb5de27e
GuestSpan;guestspan.com;Software;Software;474b18c7-7b21-2116-0e79-e65f6a08e91b
Exquisite Software, Inc.;exqsd.com;Developer Tools,Enterprise Software,Software,Web Development;Software;477bef3f-5ffd-ac81-cf3c-41306b8c4fa5
LogicBuy;logicbuy.com;Hardware,News,Shopping,Software,Video;Commerce and Shopping,Content and Publishing,Hardware,Media and Entertainment,Software,Video;47a55e7d-fa7a-523a-15e3-7d4268c3c005
Metaphor;metaphor.com;Education,Software;Education,Software;47b43398-d3e9-2167-31b7-32151ffd2edf
hubbuzz.com;hubbuzz.com;Online Portals,Rental,Rental Property;Commerce and Shopping,Internet Services,Real Estate;47b843bf-ebf4-b26a-18c6-24c99a7fa2e3
GetJar;getjar.com;Android,Apps,Mobile,Mobile Advertising,Wireless;Advertising,Apps,Hardware,Mobile,Platforms,Sales and Marketing,Software;47d293aa-555a-5c3a-fdaa-29ba741f5d4c
ForeFlight;foreflight.com;Mobile,Navigation;Mobile,Navigation and Mapping;4860d077-72de-f310-b2b0-842dd811a129
Geekazine;geekazine.com;Apps,Audio,Events,iOS,Music,Video;Apps,Events,Media and Entertainment,Mobile,Music and Audio,Platforms,Software,Video;4912082c-a75c-f8b8-6a98-09e048b07f51
Fuzzy Logix;fuzzyl.com;Analytics,Computer,Data Mining,Risk Management,Software,Software Engineering;Consumer Electronics,Data and Analytics,Hardware,Information Technology,Science and Engineering,Software;4924c4cb-b627-b90f-6c78-31eb03ad37f1
doejo;doejo.com;Consulting,E-Commerce,SEO,Software;Commerce and Shopping,Internet Services,Sales and Marketing,Software;499d8719-842e-b71b-e134-60a06346f904
InteliCloud;intelicloud.com;Video on Demand,VoIP,Web Hosting;Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Video;4a37d5b5-4531-b7bc-82c6-2eca2428c735
Your Mapper;yourmapper.com;Apps,Developer APIs,Enterprise Software,Local,Mobile,Software;Apps,Mobile,Software;4a5f1314-1b78-c081-add4-1b09d3b5de19
iSquare;isquareinc.com;Software;Software;4a96694c-dd5d-7037-89b0-f51288cb9991
National Association of Professional Women;napw.com;Social Media,Training;Education,Internet Services,Media and Entertainment;4ac03e1c-3222-a99a-929f-afbd1dcbb4fe
Apprema;apprema.com;E-Commerce,Email,Payments;Commerce and Shopping,Financial Services,Information Technology,Internet Services,Messaging and Telecommunications,Payments;4af88af6-e0d2-e24f-10c4-0238dd68ebae
3D3R Software Studio;3d3r.com;Software;Software;4b27205c-c824-aafc-6cc9-ffe07b24ac30
ENTech Solutions;entechsolutions.com;Cloud Computing,Consulting,iOS;Internet Services,Mobile,Platforms,Software;4b27f574-07c5-f548-c4d9-3114f0439c55
Scayl, Inc.;scayl.com;Digital Marketing,Email Marketing,Messaging;Information Technology,Internet Services,Messaging and Telecommunications,Sales and Marketing;4be05aae-12d1-455e-409c-9661e1610a3f
CommerceSocial;commercesocial.com;Ad Network,Advertising,E-Commerce,Social Media,Social Media Advertising;Advertising,Commerce and Shopping,Internet Services,Media and Entertainment,Sales and Marketing;4c6a6e2d-d420-cc3f-545e-45f9ab16a304
Kazak Media;kazakmedia.com;Advertising,Local Advertising,Semantic Search,SEO,Web Design;Advertising,Design,Internet Services,Sales and Marketing;4cabeb2f-b0b8-bde0-dc2e-77f4cd27a151
Zipwhip;zipwhip.com;Cloud Computing,Messaging,Telecommunications;Hardware,Information Technology,Internet Services,Messaging and Telecommunications,Software;4d02d7ff-ba2e-e5c5-6e5f-b19ff4015898
AltSearchEngines;altsearchengines.com;Search Engine;Internet Services;4d70d81a-060a-f5c3-d015-43a41935193d
Trapp Technology;trapptechnology.com;Cloud Computing,Information Technology,Telecommunications;Hardware,Information Technology,Internet Services,Software;4e185347-5c08-845e-d3c1-03adc5b565e7
StepChange Group;stepchangegroup.com;Advertising,Apps,Developer Tools,Social Media;Advertising,Apps,Internet Services,Media and Entertainment,Sales and Marketing,Software;4e22a5ad-7f3e-5bd5-7058-d194c37d9d9f
Nanoscale Components;nanoscalecomp.com;Enterprise Software,Manufacturing,Nanotechnology;Manufacturing,Science and Engineering,Software;4e318909-4370-bd02-0d76-09c6ad034886
Novalsys;novalsys.com;Internet,SaaS,Software,Web Design;Design,Internet Services,Software;4e4dc48f-f93a-9d83-7575-f73e8a8c3ee3
Glue Networks;gluenetworks.com;Cloud Computing,Enterprise Software,Service Industry;Internet Services,Software;4ea9c128-4ef8-a64c-fef9-5bf4090f614e
SampleOn Inc;sampleon.com;Social Media;Internet Services,Media and Entertainment;4ebf5a27-9068-05db-9003-f67eec443e96
Mobilis;mobilis.com;Billing,Messaging,Mobile,Mobile Payments,NFC,Payments,Point of Sale,Software;Commerce and Shopping,Financial Services,Hardware,Information Technology,Internet Services,Messaging and Telecommunications,Mobile,Payments,Software;4ec76a26-797d-e9fc-7ba3-e4c6bcb160b3
The Kelso Group;thekelsogroup.com;Consulting,IT Management,Risk Management;Information Technology;4f42ae9a-e9e3-d235-0a6a-72ff9c75622e
AutoVirt;autovirt.com;Enterprise Software,File Sharing,Flash Storage;Hardware,Software;4f496635-1d0d-08c7-557c-cabce24d774f
eGumball Inc.;egumball.com;SEO;Internet Services,Sales and Marketing;50445e2f-bc5f-7114-5a89-1f5f466e4b15
Lookery;lookery.com;Advertising,Marketing,Social Network;Advertising,Internet Services,Sales and Marketing;50801841-45d2-5027-329d-fc63a12a0b62
Winescorecard;winescorecard.com;Advertising,Machine Learning,Wine And Spirits;Advertising,Artificial Intelligence,Data and Analytics,Food and Beverage,Sales and Marketing,Software;5105c010-136f-af14-1ba2-7c7338b141b6
Expedite Commerce;expeditecommerce.com;CRM,Customer Service,Sales,Social CRM;Information Technology,Sales and Marketing,Software;512009b8-b1b5-eeb5-9d9a-08c8bcd0ade9
Debate.com;debate.com;Web Hosting;Internet Services;5155c045-a31a-411d-2c93-8873c813f7b8
Creatency, Inc.;creatency.com;Developer Tools,Digital Marketing,Digital Media;Media and Entertainment,Sales and Marketing,Software;51595cc4-04b0-5153-1f8d-16a50e269ab4
BP3 Global;bp-3.com;Business Development,Consulting,Information Technology,Management Information Systems,Software;Information Technology,Software;5189b297-0b34-a698-35c6-d990f474c649
Lincoln Loop;lincolnloop.com;Consulting,Developer Tools,Software;Software;51bfcc40-08bb-949b-9381-8c96db3815b3
SkillNet.Net;skillnet.net;Education,Skill Assessment,Software;Education,Software;51dece79-fdba-f7a0-902f-16abb970d218
Noninvasix;noninvasix.com;Information Technology,Mobile Devices,Technical Support;Consumer Electronics,Hardware,Information Technology,Mobile;523894ec-6b60-6b0e-1ac5-bcd5f3ed3aa0
Fisher Wallace Laboratories;fisherwallace.com;Medical,Medical Device,Wearables;Consumer Electronics,Hardware,Health Care;526ea4fd-def8-ba07-709c-4d21f79abd45
IP Pathways;ippathways.com;Information Technology;Information Technology;527072c3-1c49-4a72-aab4-0f3fb5ca6f1e
VisualCue;visualcue.com;Business Intelligence,Data Visualization,Information Technology,SaaS;Data and Analytics,Design,Information Technology,Software;5285ce67-c675-4c5d-828a-75c6524f226a
Stax Networks;stax.net;Cloud Data Services,Infrastructure,PaaS;Information Technology,Internet Services;52a06969-4c76-fc34-7edf-81494227c699
Transpond;transpond.com;Advertising,Developer Tools,SNS,Social Media;Advertising,Internet Services,Media and Entertainment,Sales and Marketing,Software;52c22c5c-e123-dcb1-d54f-fcc7ceafad19
Elastra;elastra.com;Cloud Data Services,Enterprise Software,Service Industry;Information Technology,Internet Services,Software;52e624ac-e23c-580a-c914-81cfe5881e1a
LiveViewGPS;liveviewgps.com;Location Based Services,Public Relations;Data and Analytics,Internet Services,Navigation and Mapping,Sales and Marketing;5315d7a0-17f3-04e8-b701-f3c91a3b00b3
TasteSpace;tastespace.com;Search Engine;Internet Services;532bb318-12cd-acfe-aca4-8c8597b26266
Gobbiz;gobbiz.com;Local,Service Industry,Web Browsers;Internet Services,Software;53c6f7ee-1919-f715-b362-932da275a27a
Zyked;zyked.com;Health Care,Internet,iOS,Mobile,Social Media,Sports,Training;Education,Health Care,Internet Services,Media and Entertainment,Mobile,Platforms,Software,Sports;5409a4b8-39fa-f9a0-3255-39e859d9606e
